mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Inyo                              | 0.033      | 0.011       | 0.008          | 0.058           | 0.889       |
| Yates                             | 0.000      | 0.006       | 0.023          | 0.087           | 0.884       |
| Mono                              | 0.011      | 0.026       | 0.012          | 0.070           | 0.880       |
| Hudspeth                          | 0.013      | 0.003       | 0.076          | 0.029           | 0.880       |
| El Paso                           | 0.007      | 0.007       | 0.033          | 0.075           | 0.877       |
| Esmeralda                         | 0.086      | 0.004       | 0.006          | 0.032           | 0.872       |
| Humboldt                          | 0.042      | 0.006       | 0.018          | 0.069           | 0.865       |
| Seneca                            | 0.001      | 0.012       | 0.042          | 0.082           | 0.864       |
| Wyoming                           | 0.001      | 0.024       | 0.008          | 0.107           | 0.861       |
| Hampshire                         | 0.011      | 0.006       | 0.017          | 0.109           | 0.857       |
| Sussex                            | 0.005      | 0.001       | 0.035          | 0.103           | 0.856       |
| Hays                              | 0.000      | 0.007       | 0.022          | 0.115           | 0.855       |
| Dutchess                          | 0.007      | 0.009       | 0.031          | 0.099           | 0.854       |
| Putnam                            | 0.003      | 0.018       | 0.022          | 0.105           | 0.852       |
| Kalawao                           | 0.026      | 0.013       | 0.032          | 0.080           | 0.850       |
| Lake                              | 0.003      | 0.004       | 0.007          | 0.136           | 0.849       |
| Ontario                           | 0.001      | 0.012       | 0.031          | 0.107           | 0.849       |
| Columbia                          | 0.014      | 0.004       | 0.029          | 0.104           | 0.848       |
| Dorchester                        | 0.020      | 0.006       | 0.011          | 0.119           | 0.844       |
| Talbot                            | 0.012      | 0.012       | 0.006          | 0.127           | 0.843       |
