mysql root@(none):covid_data> select cdc.`County_ID`, max(cdc.`Cases`) as `Cases`, max(cdc.`Deaths`) as `Deaths`, c.`Always_Mask` from `County` as c join `County_Date_Cases` as cdc where cdc.`County_ID` = c.`County_ID` group by cdc.`County_ID` having (c.`Always_Mask` > 0.75) order by max(cdc.`Cases`) desc;
+-----------+---------+--------+-------------+
| County_ID | Cases   | Deaths | Always_Mask |
+-----------+---------+--------+-------------+
| 6037      | 1203799 | 22029  | 0.786       |
| 12086     | 419478  | 5558   | 0.756       |
| 6065      | 290904  | 3892   | 0.803       |
| 6071      | 287867  | 3153   | 0.768       |
| 48113     | 284010  | 3549   | 0.757       |
| 6073      | 262844  | 3385   | 0.800       |
| 6059      | 262674  | 4226   | 0.754       |
| 12011     | 199643  | 2465   | 0.791       |
| 48029     | 198580  | 3038   | 0.822       |
| 36103     | 166497  | 3125   | 0.782       |
| 36059     | 152646  | 2956   | 0.779       |
| 48141     | 125372  | 2407   | 0.877       |
| 12099     | 123302  | 2510   | 0.784       |
| 42101     | 119874  | 3177   | 0.794       |
| 25017     | 113553  | 3493   | 0.798       |
| 6085      | 111814  | 1823   | 0.764       |
| 4019      | 110487  | 2261   | 0.759       |
| 36119     | 110329  | 2125   | 0.798       |
| 25009     | 84740   | 2202   | 0.788       |
| 44007     | 83108   | 1846   | 0.754       |
| 9001      | 81783   | 2074   | 0.780       |
| 6001      | 81366   | 1292   | 0.795       |
| 34003     | 80339   | 2638   | 0.762       |
| 25025     | 79597   | 1720   | 0.788       |
| 48215     | 78770   | 2679   | 0.826       |
| 6111      | 78439   | 883    | 0.777       |
| 42003     | 78220   | 1755   | 0.761       |
| 17043     | 77882   | 1290   | 0.760       |
| 48453     | 76638   | 882    | 0.795       |
| 34023     | 74641   | 2126   | 0.765       |
| 9009      | 72947   | 1933   | 0.795       |
| 9003      | 71020   | 2299   | 0.767       |
| 36029     | 66818   | 1618   | 0.766       |
| 25027     | 66482   | 2060   | 0.768       |
| 24031     | 64032   | 1426   | 0.777       |
| 6013      | 63400   | 708    | 0.806       |
| 34029     | 60663   | 1890   | 0.772       |
| 17097     | 60155   | 1005   | 0.769       |
| 48157     | 59290   | 582    | 0.774       |
| 34025     | 59141   | 1423   | 0.764       |
| 34031     | 58331   | 1709   | 0.756       |
| 42091     | 55218   | 1569   | 0.761       |
| 36055     | 53392   | 998    | 0.785       |
| 35001     | 53036   | 874    | 0.758       |
| 24005     | 51764   | 1293   | 0.777       |
| 10003     | 50614   | 728    | 0.786       |
