mysql root@(none):covid_data> select max(Cases.`Cases`) as `Cases`, C.`Name` as `County_Name`, S.`Name` as `State_Name`  from `County_Date_Cases` as Cases left join `County` as C on Cases.`County_ID` = C.`County_ID`  left join `State` as S on S.`State_ID` = C.`State_ID` group by C.`County_ID`;

+---------+-----------------------------------+----------------+
| Cases   | County_Name                       | State_Name     |
+---------+-----------------------------------+----------------+
| 6347    | Autauga                           | Alabama        |
| 19935   | Baldwin                           | Alabama        |
| 2139    | Barbour                           | Alabama        |
| 2465    | Bibb                              | Alabama        |
| 6256    | Blount                            | Alabama        |
| 1177    | Bullock                           | Alabama        |
| 2017    | Butler                            | Alabama        |
| 13963   | Calhoun                           | Alabama        |
| 3434    | Chambers                          | Alabama        |
| 1782    | Cherokee                          | Alabama        |
| 3922    | Chilton                           | Alabama        |
| 561     | Choctaw                           | Alabama        |
| 3445    | Clarke                            | Alabama        |
| 1462    | Clay                              | Alabama        |
| 1403    | Cleburne                          | Alabama        |
| 5268    | Coffee                            | Alabama        |
| 6010    | Colbert                           | Alabama        |
| 1072    | Conecuh                           | Alabama        |
| 903     | Coosa                             | Alabama        |
| 3999    | Covington                         | Alabama        |
| 1469    | Crenshaw                          | Alabama        |
| 9000    | Cullman                           | Alabama        |
| 4685    | Dale                              | Alabama        |
| 3428    | Dallas                            | Alabama        |
| 8509    | DeKalb                            | Alabama        |
| 9515    | Elmore                            | Alabama        |
| 3795    | Escambia                          | Alabama        |
| 13419   | Etowah                            | Alabama        |
| 2028    | Fayette                           | Alabama        |
| 4008    | Franklin                          | Alabama        |
| 2406    | Geneva                            | Alabama        |
| 889     | Greene                            | Alabama        |
| 2129    | Hale                              | Alabama        |
| 1837    | Henry                             | Alabama        |
| 10130   | Houston                           | Alabama        |
| 6552    | Jackson                           | Alabama        |
| 72033   | Jefferson                         | Alabama        |
| 1339    | Lamar                             | Alabama        |
| 8630    | Lauderdale                        | Alabama        |
| 2862    | Lawrence                          | Alabama        |
| 15083   | Lee                               | Alabama        |
| 9440    | Limestone                         | Alabama        |
| 1331    | Lowndes                           | Alabama        |
| 1478    | Macon                             | Alabama        |
| 32708   | Madison                           | Alabama        |
| 2453    | Marengo                           | Alabama        |
| 2889    | Marion                            | Alabama        |
| 11460   | Marshall                          | Alabama        |
| 36423   | Mobile                            | Alabama        |
| 1667    | Monroe                            | Alabama        |
| 22805   | Montgomery                        | Alabama        |
| 13801   | Morgan                            | Alabama        |
| 1064    | Perry                             | Alabama        |
| 2263    | Pickens                           | Alabama        |
| 2934    | Pike                              | Alabama        |
| 1654    | Randolph                          | Alabama        |
| 4081    | Russell                           | Alabama        |
| 22276   | Shelby                            | Alabama        |
| 9057    | St. Clair                         | Alabama        |
| 1010    | Sumter                            | Alabama        |
| 7647    | Talladega                         | Alabama        |
| 3637    | Tallapoosa                        | Alabama        |
| 24457   | Tuscaloosa                        | Alabama        |
| 6601    | Walker                            | Alabama        |
| 1571    | Washington                        | Alabama        |
| 1232    | Wilcox                            | Alabama        |
| 2586    | Winston                           | Alabama        |
| 362     | Aleutians East Borough            | Alaska         |
| 626     | Aleutians West Census Area        | Alaska         |
| 26744   | Anchorage                         | Alaska         |
| 3588    | Bethel Census Area                | Alaska         |
| 74      | Denali Borough                    | Alaska         |
| 207     | Dillingham Census Area            | Alaska         |
| 6256    | Fairbanks North Star Borough      | Alaska         |
| 25      | Haines Borough                    | Alaska         |
| 1234    | Juneau City and Borough           | Alaska         |
| 3996    | Kenai Peninsula Borough           | Alaska         |
| 362     | Ketchikan Gateway Borough         | Alaska         |
| 1057    | Kodiak Island Borough             | Alaska         |
| 1211    | Kusilvak Census Area              | Alaska         |
| 8827    | Matanuska-Susitna Borough         | Alaska         |
| 328     | Nome Census Area                  | Alaska         |
| 1009    | North Slope Borough               | Alaska         |
| 586     | Northwest Arctic Borough          | Alaska         |
| 133     | Petersburg Borough                | Alaska         |
| 74      | Prince of Wales-Hyder Census Area | Alaska         |
| 312     | Sitka City and Borough            | Alaska         |
| 19      | Skagway Municipality              | Alaska         |
| 488     | Southeast Fairbanks Census Area   | Alaska         |
| 496     | Valdez-Cordova Census Area        | Alaska         |
| 28      | Wrangell City and Borough         | Alaska         |
| 333     | Yukon-Koyukuk Census Area         | Alaska         |
| 10666   | Apache                            | Arizona        |
| 11330   | Cochise                           | Arizona        |
| 16768   | Coconino                          | Arizona        |
| 6418    | Gila                              | Arizona        |
| 5319    | Graham                            | Arizona        |
| 561     | Greenlee                          | Arizona        |
| 2453    | La Paz                            | Arizona        |
| 516216  | Maricopa                          | Arizona        |
| 21406   | Mohave                            | Arizona        |
| 15748   | Navajo                            | Arizona        |
| 110487  | Pima                              | Arizona        |
| 46879   | Pinal                             | Arizona        |
| 7656    | Santa Cruz                        | Arizona        |
| 18016   | Yavapai                           | Arizona        |
| 36564   | Yuma                              | Arizona        |
| 2005    | Arkansas                          | Arkansas       |
| 1849    | Ashley                            | Arkansas       |
| 2911    | Baxter                            | Arkansas       |
| 27508   | Benton                            | Arkansas       |
| 3672    | Boone                             | Arkansas       |
| 1325    | Bradley                           | Arkansas       |
| 401     | Calhoun                           | Arkansas       |
| 2728    | Carroll                           | Arkansas       |
| 1592    | Chicot                            | Arkansas       |
| 2057    | Clark                             | Arkansas       |
| 1701    | Clay                              | Arkansas       |
| 1895    | Cleburne                          | Arkansas       |
| 928     | Cleveland                         | Arkansas       |
| 2282    | Columbia                          | Arkansas       |
| 2159    | Conway                            | Arkansas       |
| 12918   | Craighead                         | Arkansas       |
| 6845    | Crawford                          | Arkansas       |
| 5791    | Crittenden                        | Arkansas       |
| 1901    | Cross                             | Arkansas       |
| 744     | Dallas                            | Arkansas       |
| 1341    | Desha                             | Arkansas       |
| 1955    | Drew                              | Arkansas       |
| 11872   | Faulkner                          | Arkansas       |
| 1643    | Franklin                          | Arkansas       |
| 1083    | Fulton                            | Arkansas       |
| 9818    | Garland                           | Arkansas       |
| 1596    | Grant                             | Arkansas       |
| 5925    | Greene                            | Arkansas       |
| 1936    | Hempstead                         | Arkansas       |
| 4903    | Hot Spring                        | Arkansas       |
| 1605    | Howard                            | Arkansas       |
| 3679    | Independence                      | Arkansas       |
| 1653    | Izard                             | Arkansas       |
| 3182    | Jackson                           | Arkansas       |
| 8643    | Jefferson                         | Arkansas       |
| 2800    | Johnson                           | Arkansas       |
| 538     | Lafayette                         | Arkansas       |
| 2055    | Lawrence                          | Arkansas       |
| 1646    | Lee                               | Arkansas       |
| 3158    | Lincoln                           | Arkansas       |
| 1187    | Little River                      | Arkansas       |
| 2187    | Logan                             | Arkansas       |
| 6905    | Lonoke                            | Arkansas       |
| 1411    | Madison                           | Arkansas       |
| 981     | Marion                            | Arkansas       |
| 4077    | Miller                            | Arkansas       |
| 5688    | Mississippi                       | Arkansas       |
| 837     | Monroe                            | Arkansas       |
| 739     | Montgomery                        | Arkansas       |
| 797     | Nevada                            | Arkansas       |
| 696     | Newton                            | Arkansas       |
| 2239    | Ouachita                          | Arkansas       |
| 806     | Perry                             | Arkansas       |
| 1717    | Phillips                          | Arkansas       |
| 981     | Pike                              | Arkansas       |
| 3086    | Poinsett                          | Arkansas       |
| 1913    | Polk                              | Arkansas       |
| 7776    | Pope                              | Arkansas       |
| 880     | Prairie                           | Arkansas       |
| 37642   | Pulaski                           | Arkansas       |
| 2018    | Randolph                          | Arkansas       |
| 11512   | Saline                            | Arkansas       |
| 927     | Scott                             | Arkansas       |
| 665     | Searcy                            | Arkansas       |
| 14728   | Sebastian                         | Arkansas       |
| 2732    | Sevier                            | Arkansas       |
| 1529    | Sharp                             | Arkansas       |
| 3456    | St. Francis                       | Arkansas       |
| 971     | Stone                             | Arkansas       |
| 3777    | Union                             | Arkansas       |
| 1215    | Van Buren                         | Arkansas       |
| 29603   | Washington                        | Arkansas       |
| 7626    | White                             | Arkansas       |
| 626     | Woodruff                          | Arkansas       |
| 3386    | Yell                              | Arkansas       |
| 81366   | Alameda                           | California     |
| 78      | Alpine                            | California     |
| 3486    | Amador                            | California     |
