mysql root@(none):covid_data> select `Date`, `Cases`, `Deaths`  from `County_Date_Cases` where`County_ID` like "11001%" ;
+------------+-------+--------+
| Date       | Cases | Deaths |
+------------+-------+--------+
| 2021-02-06 | 37877 | 947    |
| 2021-02-07 | 38035 | 952    |
| 2021-02-08 | 38136 | 956    |
| 2021-02-09 | 38281 | 961    |
| 2021-02-10 | 38348 | 965    |
| 2021-02-11 | 38533 | 973    |
| 2021-02-12 | 38670 | 976    |
| 2021-02-13 | 38796 | 979    |
| 2021-02-14 | 38918 | 979    |
| 2021-02-15 | 39001 | 980    |
| 2021-02-16 | 39131 | 982    |
| 2021-02-17 | 39180 | 985    |
| 2021-02-18 | 39301 | 992    |
| 2021-02-19 | 39461 | 993    |
| 2021-02-20 | 39553 | 994    |
| 2021-02-21 | 39648 | 995    |
| 2021-02-22 | 39755 | 995    |
| 2021-02-23 | 39844 | 998    |
| 2021-02-24 | 39943 | 1001   |
| 2021-02-25 | 40122 | 1005   |
| 2021-02-26 | 40284 | 1009   |
| 2021-02-27 | 40478 | 1010   |
| 2021-02-28 | 40598 | 1017   |
| 2021-03-01 | 40684 | 1019   |
| 2021-03-02 | 40767 | 1019   |
| 2021-03-03 | 40818 | 1023   |
| 2021-03-04 | 41014 | 1024   |
| 2021-03-05 | 41122 | 1027   |
| 2021-03-06 | 41273 | 1030   |
| 2021-03-07 | 41419 | 1030   |
+------------+-------+--------+
mysql root@(none):covid_data> notee;
