mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
+-----------+----------------------------+------------+-------------+
| 1007      | Bibb                       | 0.020      | 0.034       |
| 1011      | Bullock                    | 0.031      | 0.040       |
| 1023      | Choctaw                    | 0.049      | 0.038       |
| 1063      | Greene                     | 0.030      | 0.053       |
| 1065      | Hale                       | 0.026      | 0.061       |
| 1073      | Jefferson                  | 0.049      | 0.037       |
| 1087      | Macon                      | 0.008      | 0.033       |
| 1107      | Pickens                    | 0.031      | 0.060       |
| 1117      | Shelby                     | 0.022      | 0.075       |
| 1125      | Tuscaloosa                 | 0.041      | 0.036       |
| 1129      | Washington                 | 0.018      | 0.077       |
| 2013      | Aleutians East Borough     | 0.067      | 0.032       |
| 2020      | Anchorage                  | 0.042      | 0.050       |
| 2070      | Dillingham Census Area     | 0.072      | 0.025       |
| 2122      | Kenai Peninsula Borough    | 0.043      | 0.047       |
| 2150      | Kodiak Island Borough      | 0.042      | 0.043       |
| 2170      | Matanuska-Susitna Borough  | 0.042      | 0.051       |
| 2185      | North Slope Borough        | 0.036      | 0.059       |
| 2230      | Skagway Municipality       | 0.058      | 0.038       |
| 2261      | Valdez-Cordova Census Area | 0.040      | 0.049       |
| 2290      | Yukon-Koyukuk Census Area  | 0.044      | 0.047       |
| 4003      | Cochise                    | 0.053      | 0.025       |
| 4007      | Gila                       | 0.073      | 0.014       |
| 4012      | La Paz                     | 0.031      | 0.064       |
| 4013      | Maricopa                   | 0.023      | 0.025       |
| 4019      | Pima                       | 0.023      | 0.024       |
| 4021      | Pinal                      | 0.033      | 0.055       |
| 4023      | Santa Cruz                 | 0.028      | 0.002       |
| 4027      | Yuma                       | 0.008      | 0.013       |
| 5001      | Arkansas                   | 0.019      | 0.073       |
| 5035      | Crittenden                 | 0.059      | 0.017       |
| 5045      | Faulkner                   | 0.066      | 0.027       |
| 5069      | Jefferson                  | 0.042      | 0.036       |
| 5079      | Lincoln                    | 0.035      | 0.016       |
| 5085      | Lonoke                     | 0.048      | 0.045       |
| 5119      | Pulaski                    | 0.028      | 0.027       |
| 5123      | St. Francis                | 0.087      | 0.007       |
| 5141      | Van Buren                  | 0.033      | 0.060       |
| 5143      | Washington                 | 0.034      | 0.028       |
| 5145      | White                      | 0.026      | 0.054       |
| 6001      | Alameda                    | 0.019      | 0.008       |
| 6005      | Amador                     | 0.045      | 0.013       |
| 6007      | Butte                      | 0.015      | 0.043       |
| 6009      | Calaveras                  | 0.045      | 0.019       |
| 6011      | Colusa                     | 0.027      | 0.031       |
| 6013      | Contra Costa               | 0.018      | 0.016       |
| 6017      | El Dorado                  | 0.028      | 0.042       |
| 6019      | Fresno                     | 0.021      | 0.022       |
| 6021      | Glenn                      | 0.028      | 0.026       |
| 6023      | Humboldt                   | 0.042      | 0.006       |
| 6025      | Imperial                   | 0.001      | 0.005       |
| 6027      | Inyo                       | 0.033      | 0.011       |
