mysql root@(none):covid_data> select max(Cases.`Deaths`) as `Deaths`, C.`Name` as `County_Name`, S.`Name` as `State_Name` from `County_Date_Cases` as Cases left join `County` as C on Cases.`County_ID` = C.`County_ID`  left join `State` as S on S.`State_ID` = C.`State_ID` group by C.`County_ID`;
+--------+-----------------------------------+----------------+
| Deaths | County_Name                       | State_Name     |
+--------+-----------------------------------+----------------+
| 92     | Autauga                           | Alabama        |
| 289    | Baldwin                           | Alabama        |
| 51     | Barbour                           | Alabama        |
| 60     | Bibb                              | Alabama        |
| 128    | Blount                            | Alabama        |
| 36     | Bullock                           | Alabama        |
| 66     | Butler                            | Alabama        |
| 296    | Calhoun                           | Alabama        |
| 111    | Chambers                          | Alabama        |
| 40     | Cherokee                          | Alabama        |
| 104    | Chilton                           | Alabama        |
| 23     | Choctaw                           | Alabama        |
| 53     | Clarke                            | Alabama        |
| 54     | Clay                              | Alabama        |
| 41     | Cleburne                          | Alabama        |
| 104    | Coffee                            | Alabama        |
| 121    | Colbert                           | Alabama        |
| 24     | Conecuh                           | Alabama        |
| 24     | Coosa                             | Alabama        |
| 107    | Covington                         | Alabama        |
| 55     | Crenshaw                          | Alabama        |
| 183    | Cullman                           | Alabama        |
| 107    | Dale                              | Alabama        |
| 142    | Dallas                            | Alabama        |
| 175    | DeKalb                            | Alabama        |
| 190    | Elmore                            | Alabama        |
| 73     | Escambia                          | Alabama        |
| 327    | Etowah                            | Alabama        |
| 57     | Fayette                           | Alabama        |
| 79     | Franklin                          | Alabama        |
| 70     | Geneva                            | Alabama        |
| 32     | Greene                            | Alabama        |
| 69     | Hale                              | Alabama        |
| 41     | Henry                             | Alabama        |
| 264    | Houston                           | Alabama        |
| 104    | Jackson                           | Alabama        |
| 1403   | Jefferson                         | Alabama        |
| 33     | Lamar                             | Alabama        |
| 214    | Lauderdale                        | Alabama        |
| 87     | Lawrence                          | Alabama        |
| 161    | Lee                               | Alabama        |
| 139    | Limestone                         | Alabama        |
| 51     | Lowndes                           | Alabama        |
| 45     | Macon                             | Alabama        |
| 469    | Madison                           | Alabama        |
| 57     | Marengo                           | Alabama        |
| 96     | Marion                            | Alabama        |
| 215    | Marshall                          | Alabama        |
| 741    | Mobile                            | Alabama        |
| 39     | Monroe                            | Alabama        |
| 523    | Montgomery                        | Alabama        |
| 255    | Morgan                            | Alabama        |
| 27     | Perry                             | Alabama        |
| 57     | Pickens                           | Alabama        |
| 73     | Pike                              | Alabama        |
| 41     | Randolph                          | Alabama        |
| 34     | Russell                           | Alabama        |
| 219    | Shelby                            | Alabama        |
| 228    | St. Clair                         | Alabama        |
| 32     | Sumter                            | Alabama        |
| 165    | Talladega                         | Alabama        |
| 143    | Tallapoosa                        | Alabama        |
| 423    | Tuscaloosa                        | Alabama        |
| 260    | Walker                            | Alabama        |
| 36     | Washington                        | Alabama        |
| 25     | Wilcox                            | Alabama        |
| 68     | Winston                           | Alabama        |
| 2      | Aleutians East Borough            | Alaska         |
| 0      | Aleutians West Census Area        | Alaska         |
| 158    | Anchorage                         | Alaska         |
| 19     | Bethel Census Area                | Alaska         |
| 0      | Denali Borough                    | Alaska         |
| 1      | Dillingham Census Area            | Alaska         |
| 29     | Fairbanks North Star Borough      | Alaska         |
| 0      | Haines Borough                    | Alaska         |
| 3      | Juneau City and Borough           | Alaska         |
| 19     | Kenai Peninsula Borough           | Alaska         |
| 2      | Ketchikan Gateway Borough         | Alaska         |
| 5      | Kodiak Island Borough             | Alaska         |
| 3      | Kusilvak Census Area              | Alaska         |
